,ACU,ANL,APUBC,AUP,AUPNAMES,AUPPUB,GVKEY_y,agvkey,DEAL_NO,GVKEY_ycompustat_firmname,agvkeycompustat_firmname
8,67622M,OfficeMax Inc,Public,67622M,OfficeMax Inc,Public,30906,2290,648660020,,
16,564054,Manor Care Inc,Public,421937,Health Care and Retirement,Public,6998,7525,657855020,,
18,066050,"BankAmerica Corp,San Francisco,CA",Public,066050,BankAmerica Corp,Public,2024,7647,668627020,,
39,218916,Cornerstone Propane Partners LP,Public,218916,Cornerstone Propane Partners,Public,64861,12603,716660020,,
86,00949T,AirTouch Communications Inc,Public,00949T,AirTouch Communications Inc,Public,29318,10405,728955020,,
160,246885,dELiA*s Inc,Public,246885,dELiA*s Inc,Public,64184,119474,779160020,,DELIAS INC
161,33761C,"Firstar Corp,Milwaukee, Wisconsin",Public,855083,"Star Banc Corp,Cincinnati,OH",Public,4743,4723,767019020,,
167,58461C,Medical Manager Corp,Public,87160F,Synetic Inc,Public,64320,16469,779788020,,
171,554053,MYR Group Inc,Public,554053,MYR Group Inc,Public,7635,13866,787820020,,
172,868524,Supertel Hospitality Inc,Public,868524,Supertel Hospitality Inc,Public,30108,31095,811282020,,
176,50540E,LabOne Inc,Public,505353,Lab Holdings Inc,Public,14001,24184,803020020,,
179,674812,Ocean Energy Inc,Public,674812,Ocean Energy Inc,Public,31101,9549,810395020,,
183,783755,Ryerson Tull Inc,Public,783755,Ryerson Tull Inc,Public,63111,7566,831219020,,
265,852061,Sprint Nextel Corp,Public,852061,Sprint Nextel Corp,Public,116245,10984,875836020,SPRINT PCS GROUP,
271,981443,World Color Press Inc,Public,981443,World Color Press Inc,Public,60832,13990,893129020,,
321,96121E,WesTower Corp,Public,96121E,WesTower Corp,Public,65844,145308,918542020,,WW INTERNATIONAL INC
338,607533,Modem Media Poppe Tyson Inc (TN Technolgies/True North Communications),Public,897844,True North Communications Inc,Public,118084,4834,956336020,MODEM MEDIA INC,
