,TCU,TNL,TPUBC,TUP,TUPNAMES,TUPPUB,GVKEY_x,tgvkey,DEAL_NO,GVKEY_xcompustat_firmname,tgvkeycompustat_firmname
0,863318,Strober Organization Inc,Public,863318,Strober Organization Inc,Public,12769,61753,652257020,,
1,45837J,Interactive Group Inc,Public,45837J,Interactive Group Inc,Public,31844,24311,684431020,,
2,066050,"BankAmerica Corp,San Francisco,CA",Public,066050,BankAmerica Corp,Public,2024,7647,751304020,,
5,564054,Manor Care Inc,Public,421937,Health Care and Retirement,Public,6998,24607,765055020,,
9,87924V,Tele-Communications Inc,Public,87924V,Tele-Communications Inc,Public,65683,10393,768734020,,
10,33761C,"Firstar Corp,Milwaukee, Wisconsin",Public,855083,"Star Banc Corp,Cincinnati,OH",Public,4743,4723,770807020,,
12,14159K,CardioGenesis Corp,Public,14159K,CardioGenesis Corp,Public,62912,62960,804370020,,
13,674812,Ocean Energy Inc,Public,674812,Ocean Energy Inc,Public,31101,9549,813976020,,
15,00949T,AirTouch Communications Inc,Public,00949T,AirTouch Communications Inc,Public,29318,10405,789889020,,
17,83169A,SmarTalk TeleServices Inc,Public,83169A,SmarTalk TeleServices Inc,Public,63859,23717,843860020,,
18,45254P,Impac Mortgage Holdings Inc,Public,45254P,Impac Mortgage Holdings Inc,Public,61586,65629,881475020,,
19,868524,Supertel Hospitality Inc,Public,868524,Supertel Hospitality Inc,Public,30108,31095,892762020,,
20,981443,World Color Press Inc,Public,981443,World Color Press Inc,Public,60832,13990,903267020,,
21,12490K,CBS Corp,Public,12490K,CBS Corp,Public,11436,13714,920214020,,
23,554053,MYR Group Inc,Public,554053,MYR Group Inc,Public,7635,13866,955776020,,
67,91705J,Carroll George Inc(Morton Industrial Group Inc),Sub.,88558T,Three Cities Research Inc,Priv.,120301,12497,987863020,URBAN ONE INC,
68,220493,CORT Business Services Corp,Public,220493,CORT Business Services Corp,Public,61563,13714,962216020,,
69,883598,Thermo TerraTech Inc(Thermo Electron Corp),Public,883556,Thermo Electron Corp,Public,12480,10530,975379020,,
85,832914,Snyder Communications Inc,Public,832914,Snyder Communications Inc,Public,63641,126836,978905020,,CIRCLE.COM
86,922126,Varco International Inc,Public,898602,Tuboscope Inc,Public,11113,63892,989634020,,
96,269282,EXX Inc,Public,269282,EXX Inc,Public,9319,7873,1002032020,,
97,902973,"US Bancorp,Minneapolis,Minnesota",Public,902973,"US Bancorp,Minneapolis,MN",Public,4682,4723,1052777020,,
98,88355K,Thermo Cardiosystems Inc (Thermedics Inc/Thermo Electron Corp),Public,883556,Thermo Electron Corp,Public,15113,10530,1081208020,,
151,125577,CIT Group Inc,Public,125577,CIT Group Inc,Public,2549,149738,1163944020,,CIT GROUP INC
159,458726,Interland Inc,Public,595112,Micron Technology Inc,Public,138004,7343,1167859020,INTERLAND INC-OLD,
160,26157B,Dresdner RCM Global Strategic Income Fund Inc,Public,060505,Bank of America Corp,Public,14727,7647,1186243020,,
161,576844,Matrix Pharmaceutical Inc,Public,576844,Matrix Pharmaceutical Inc,Public,24877,1254,1259809020,,
169,584662,MediChem Life Sciences Inc (Oshkosh Truck Corp),Sub.,688239,Oshkosh Truck Corp,Public,140798,11721,1259858020,MEDICHEM LIFE SCIENCES  INC,
189,922196,Variagenics Inc,Public,922196,Variagenics Inc,Public,137883,65243,1364887020,VARIAGENICS INC,
190,849176,Sports Authority Inc,Public,849176,Sports Authority Inc,Public,31022,66278,1371666020,,
191,03672W,Antex Biologics Inc,Public,03672W,Antex Biologics Inc,Public,26020,63790,1378032020,,
192,693430,PMC Capital Inc,Public,693434,PMC Commercial Trust Inc,Public,14678,29448,1403881020,,
193,67622M,OfficeMax Inc,Public,67622M,OfficeMax Inc,Public,30906,2290,1413872020,,
205,465713,i3 Mobile Inc,Public,465713,i3 Mobile Inc,Public,133867,63470,1421461020,I3 MOBILE INC,
208,939322,"Washington Mutual Inc,Seattle, Washington",Public,939322,"Washington Mutual,Seattle,WA",Public,16243,14477,1530688020,,
209,811183,Scudder New Asia Fund Inc,Public,811183,Scudder New Asia Fund Inc,Public,14765,9351,1748370020,,
211,32020Y,"First Federal Banc of the Southwest Inc,Roswell,New Mexico",Public,938824,Washington Federal Inc,Public,164048,17145,1801107020,FIRST FEDERAL BANC SOUTHWEST,
231,88343A,Therma-Wave Inc,Priv.,88343A,Therma-Wave Inc,Priv.,115245,6304,1828342020,THERMA WAVE INC,
233,601148,Mills Corp,Public,601148,Mills Corp,Public,30072,179086,1837084020,,MILESTONE AV TECH INC-REDH
280,09254J,Blackstone Group LP-Real Property Portfolio,Sub.,09253U,Blackstone Group LP,Priv.,28606,177088,1841518020,,BLACKSTONE GROUP INC
307,730698,Point 360,Public,730698,Point 360,Public,64402,178089,1859830020,,POINT.360
354,09254K,Blackstone Group LP-Hotels(3),Sub.,09253U,Blackstone Group LP,Public,29210,177088,1906900020,,BLACKSTONE GROUP INC
861,94770V,WebMD Health Corp,Public,94770V,WebMD Health Corp,Public,115404,163941,1923202020,WEBMD HEALTH CORP,WEBMD HEALTH CORP -OLD
863,001963,ASV Inc,Public,149123,Caterpillar Inc,Public,30584,2817,1942858020,,
1514,253807,Digimarc Corp,Public,253807,Digimarc Corp,Public,127075,181290,1962802020,DIGIMARC CORP -OLD,DIGIMARC CORP
1515,91911X,Valeant Pharmaceuticals International Inc,Public,91911X,Valeant Pharmaceuticals Intl,Public,9340,29955,2194149020,,
2327,049298,Atlas Energy Inc,Public,049298,Atlas Energy Inc,Public,158736,166458,2237671020,ATLAS ENERGY INC,ATLAS ENERGY GROUP LLC
2867,391523,Great Wolf Resorts Inc,Sub.,037612,Apollo Global Management LLC,Public,161056,184254,2722161020,GREAT WOLF RESORTS INC,APOLLO GLOBAL MGMT INC
3515,57056R,Market Leader Inc,Sub.,98954M,Zillow Group Inc,Public,161814,187039,2797838020,MARKET LEADER INC,ZILLOW GROUP INC
3516,391164,Great Plains Energy Inc,Public,391164,Great Plains Energy Inc,Public,6334,6338,2932929020,,
